Year,Artist
2015,Fatoumata Diawara
2015,This Is the Kit
2015,Jeff Goldblum
2015,Hollie Cook
2015,KOKOROKO
2015,Interpol
2015,Pale Waves
2015,Aurora
2015,Rosalía
2015,Pond
2015,Goat Girl
2015,Mahalia
2015,Pip Blom
2015,Sean Paul
2015,Bugzy Malone
2015,Sharon Van Etten
2015,Low
2015,Freya Ridings
2015,Shura
2015,Gerry Cinnamon
2015,She Drew the Gun
2015,Swimming Girls
2015,The Streets
2015,Friendly Fires
2015,Stefflon Don
2015,Tom Walker
2015,Dermot Kennedy
2015,Octavian
2015,Alma
2015,Eyre Llew
2015,Cat Power
2015,Michael Kiwanuka
2015,Idles
2015,SOAK
2015,King Princess
2015,Lukas Nelson & Promise of the Real
2015,Georgia
2015,Steam Down
2015,Lankum
2015,Hot Chip
2015,Kae Tempest
2015,Kurt Vileand theViolators
2015,Foals(Originally billed as TBA)
2015,Sons of Kemet
2015,Love Unlimited Orchestra
2015,Mattiel
2015,Ama Lou
2015,Vampire Weekend(Originally billed as TBA)
2015,Rex Orange County
2015,Little Simz
2015,"The Good, the Bad & the Queen"
2015,Fat White Family
2015,Palace
2015,Koffee
2015,Jessie Buckley
2015,Black Peaches
2015,"Glastonbury in the 90s, narrated bySkinfromSkunk Anansie"
2015,Radiohead(1997)
2015,R.E.M.(1999)
2015,Glastonbury in the 21st Century – performances since 2000
2015,Kylie Minogue(2019)
2015,Arctic Monkeys(2013)
2015,"Glastonbury Legends – includingPaul McCartney,Paul Simon,Kylie Minogue, andMadness"
2015,Live at Worthy Farm: Backstage – narrated byJo Whiley
2015,"Live at Worthy Farm – highlights from the 2021 live-stream includingColdplay,HAIM, andDamon Albarn"
2015,Al Green(1999)
2015,"Best of Glastonbury 1998 – includingPrimal Scream,James,Foo Fighters,The Lightning Seeds,Blur,Robbie Williams"
2015,"Best of Glastonbury 1999 – including R.E.M.,The Beautiful South,Blondie, andBarenaked Ladies"
2015,"Best of Glastonbury 2003 – includingManic Street Preachers, R.E.M.,Radiohead,Macy Gray, and theSugababes"
2015,Iggy PopandThe Stooges(2007)
2015,"Glastonbury 2017 – includingRadiohead,Foo Fighters, andEd Sheeran; hosted byJo WhileyandMark Radcliffe"
2015,Fela Kuti(1984)
2015,Billie Eilish
2015,Sam Fender
2015,Robert Plant&Alison Krauss
2015,Wolf Alice
2015,Crowded House
2015,Rufus Wainwright
2015,Ziggy Marley
2015,Paul McCartney
2015,Noel Gallagher's High Flying Birds
2015,Haim
2015,Greta Thunberg
2015,AJ Tracey
2015,Easy Life
2015,Joy Crookes
2015,Les Amazones D'Afrique
2015,Kendrick Lamar
2015,Lorde
2015,Elbow
2015,Diana Ross
2015,Herbie Hancock
2015,Dakhabrakha
2015,Black Dyke Band
2015,Foals
2015,St. Vincent
2015,Idles
2015,Supergrass
2015,First Aid Kit
2015,Blossoms
2015,Kae Tempest
2015,The Libertines
2015,Megan Thee Stallion
2015,Burna Boy
2015,Olivia Rodrigo
2015,Glass Animals
2015,Metronomy
2015,Skunk Ananise
2015,Tems
2015,Hak Baker
2015,Pet Shop Boys
2015,Years & Years
2015,Kacey Musgraves
2015,Fontaines DC
2015,Declan McKenna
2015,Lianne La Havas
2015,Sea Girls
2015,Kojey Radical
2015,Little Simz
2015,Bonobo
2015,Seun Kuti& Egypt 80
2015,TLC
2015,Sleaford Mods
2015,Greentea Peng
2015,Arooj Aftab
2015,Nubiyan Twist
2015,Roisin Murphy
2015,Caribou
2015,Leon Bridges
2015,Celeste
2015,Yves Tumor
